Time,F2 (F),F3 (F),F4 (F),C1 (C),,,,,,,,,,,,,,
15:45,70,69,69,21.5,,,,,,,,,,,,,,
15:50,69,69,68,21.9,,,,,,,,,,,,,,
15:55,69,69,69,22.2,,,,,,,,,,,,,,
16:00,69,69,65,22,,,,,,,,,,,,,,
16:05,69,69,54,21.8,,,,,,,,,,,,,,
16:10,69,69,39,21.5,,,,,,,,,,,,,,
16:15,68,68,22,21.1,,,,,,,,,,,,,,
16:20,68,68,7,20.5,,,,,,,,,,,,,,
16:25,68,67,-8,19.9,,,,,,,,,,,,,,
16:30,67,67,-24,19.2,,,,,,,,,,,,,,
16:35,66,66,-38,18.5,,,,,,,,,,,,,,
16:40,65,65,-41,17.7,,,,,,,,,,,,,,
16:45,64,64,-40,17.1,,,,,,,,,,,,,,
16:50,64,64,-42,16.4,,,,,,,,,,,,,,
16:55,63,63,-41,15.8,,,,,,,,,,,,,,
17:00,62,62,-40,15.3,,,,,,,,,,,,,,
17:05,61,62,-37,14.9,,,,,,,,,,,,,,
17:10,60,61,-44,14.3,,,,,,,,,,,,,,
17:15,60,60,-43,13.7,,,,,,,,,,,,,,
17:20,59,60,-40,13.3,,,,,,,,,,,,,,
17:25,58,59,-38,12.9,,,,,,,,,,,,,,
17:30,58,58,-44,12.5,,,,,,,,,,,,,,
17:35,57,57,-44,12.1,,,,,,,,,,,,,,
17:40,56,57,-41,11.7,,,,,,,,,,,,,,
17:45,56,56,-39,11.4,,,,,,,,,,,,,,
17:50,55,56,-38,11.1,,,,,,,,,,,,,,
17:55,54,55,-45,10.7,,,,,,,,,,,,,,
18:00,54,55,-45,10.4,,,,,,,,,,,,,,
18:05,53,54,-42,10.1,,,,,,,,,,,,,,
18:10,53,53,-40,9.8,,,,,,,,,,,,,,
18:15,52,53,-37,9.6,,,,,,,,,,,,,,
18:20,52,52,-40,9.4,,,,,,,,,,,,,,
18:25,51,52,-43,9,,,,,,,,,,,,,,
18:30,51,51,-41,8.8,,,,,,,,,,,,,,
18:35,,,,,,,,,,,,,,,,,,
18:40,,,,,,,,,,,,,,,,,,
18:45,,,,,,,,,,,,,,,,,,
18:50,,,,,,,,,,,,,,,,,,
18:55,,,,,,,,,,,,,,,,,,
19:00,,,,,,,,,,,,,,,,,,
19:05,,,,,,,,,,,,,,,,,,
19:10,,,,,,,,,,,,,,,,,,
19:15,,,,,,,,,,,,,,,,,,
19:20,,,,,,,,,,,,,,,,,,
19:25,,,,,,,,,,,,,,,,,,
19:30,,,,,,,,,,,,,,,,,,
19:35,,,,,,,,,,,,,,,,,,
19:40,,,,,,,,,,,,,,,,,,
19:45,,,,,,,,,,,,,,,,,,